"parset" "WATER_BASE" "EMAX"
"pars1" 55.8986042357981 7.96222632131539
"pars2" 22.5310428544879 10.4391798433382
"pars3" 43.7808936011046 2.18034438188188
"pars4" 38.0906332626939 5.68387751230039
"pars5" 29.5074767719954 2.30052522863261
"pars6" 83.677690500021 3.10113577526063
"pars7" 60.6182217389345 4.18288234407082
"pars8" 78.8044899892062 3.22971164290793
"pars9" 68.4031438313424 7.5874131326098
"pars10" 45.9671574290842 6.3950945799239
"pars11" 25.8474278945476 11.4849030086305
"pars12" 58.1223144907504 3.56245789709501
"pars13" 50.2747311923653 5.20588817363605
"pars14" 34.9571074169129 10.3835627940018
"pars15" 49.1914569452405 10.642818140192
"pars16" 64.1157227940857 6.71079896702431
"pars17" 54.6156958855689 5.41744328420609
"pars18" 32.7128862310201 11.2103706575464
"pars19" 26.7408209871501 7.03069540294819
"pars20" 42.0123440802097 6.11718440232798
"pars21" 62.1971390176564 11.1830654107034
"pars22" 73.412620171532 9.60430726027116
"pars23" 71.3012604746968 6.83510905518196
"pars24" 57.6411913786083 8.61662845415995
"pars25" 24.3983878061175 8.89837486366741
"pars26" 11.2023731447756 11.7331780420151
"pars27" 66.8205829508603 9.20563453622162
"pars28" 36.5518954329193 6.57595635671169
"pars29" 85.3731095805764 10.1591181261931
"pars30" 11.9412579916418 2.81335972133093
"pars31" 74.8183567166328 2.67389431511983
"pars32" 14.2449423331767 3.62221832582727
"pars33" 41.4881123524159 4.76519388989545
"pars34" 28.5510874308646 4.32251120135188
"pars35" 31.7057913873345 7.32759538497776
"pars36" 87.2674206592143 5.94454985740595
"pars37" 17.3947551727295 10.817644922575
"pars38" 83.1744158547372 7.64129128255881
"pars39" 15.200234765932 8.45439896355383
"pars40" 78.3608044922352 3.9041096824687
"pars41" 20.4298143535852 5.15536109548993
"pars42" 52.1660688914359 11.857846526755
"pars43" 76.458772681281 8.39788990323432
"pars44" 89.7243469003588 4.46219779006205
"pars45" 19.278538313508 4.91630930057727
"pars46" 38.9939243227243 9.14020368796773
"pars47" 48.3452686082572 8.10789444707334
"pars48" 65.4481560997665 2.40225852499716
"pars49" 81.2378620274365 9.52078197808005
"pars50" 69.8500256128609 9.8178357320372
